H $a7ef`f : bne  $a7f7               71 00 04 ed nVdizc (01)
H $a7f7`f : sta  $4b [$004b`m]       71 00 04 ed nVdizc (71)
H $a7f9`f : lda  #$04                04 00 04 ed nVdizc (04)
H $a7fb`f : sta  $4c [$004c`m]       04 00 04 ed nVdizc (04)
H $a7fd`f : rts                      04 00 04 ef nVdizc (a7)
H $a7cf`f : jsr  $a38d               04 00 04 ed nVdizc (a7)
H $a38d`f : ldy  #$00                04 00 00 ed nVdiZc (00)
H $a38f`f : lda  $30 [$0030`m]       81 00 00 ed NVdizc (81)
H $a391`f : sta  ($4b),Y [$0471`m]   81 00 00 ed NVdizc (81)
H $a393`f : iny                      81 00 01 ed nVdizc (a5)
H $a394`f : lda  $2e [$002e`m]       00 00 01 ed nVdiZc (00)
H $a396`f : and  #$80                00 00 01 ed nVdiZc (80)
H $a398`f : sta  $2e [$002e`m]       00 00 01 ed nVdiZc (00)
H $a39a`f : lda  $31 [$0031`m]       80 00 01 ed NVdizc (80)
H $a39c`f : and  #$7f                00 00 01 ed nVdiZc (7f)
H $a39e`f : ora  $2e [$002e`m]       00 00 01 ed nVdiZc (00)
H $a3a0`f : sta  ($4b),Y [$0472`m]   00 00 01 ed nVdiZc (00)
H $a3a2`f : lda  $32 [$0032`m]       00 00 01 ed nVdiZc (00)
H $a3a4`f : iny                      00 00 02 ed nVdizc (91)
H $a3a5`f : sta  ($4b),Y [$0473`m]   00 00 02 ed nVdizc (00)
H $a3a7`f : lda  $33 [$0033`m]       00 00 02 ed nVdiZc (00)
H $a3a9`f : iny                      00 00 03 ed nVdizc (91)
H $a3aa`f : sta  ($4b),Y [$0474`m]   00 00 03 ed nVdizc (00)
H $a3ac`f : lda  $34 [$0034`m]       00 00 03 ed nVdiZc (00)
H $a3ae`f : iny                      00 00 04 ed nVdizc (91)
H $a3af`f : sta  ($4b),Y [$0475`m]   00 00 04 ed nVdizc (00)
H $a3b1`f : rts                      00 00 04 ef nVdizc (a3)
H $a7d2`f : lda  #$6c                6c 00 04 ef nVdizc (6c)
H $a7d4`f : sta  $4b [$004b`m]       6c 00 04 ef nVdizc (6c)
H $a7d6`f : jsr  $a6ad               6c 00 04 ed nVdizc (a7)
H $a6ad`f : jsr  $a1da               6c 00 04 eb nVdizc (92)
H $a1da`f : lda  $31 [$0031`m]       80 00 04 eb NVdizc (80)
H $a1dc`f : ora  $32 [$0032`m]       80 00 04 eb NVdizc (00)
H $a1de`f : ora  $33 [$0033`m]       80 00 04 eb NVdizc (00)
H $a1e0`f : ora  $34 [$0034`m]       80 00 04 eb NVdizc (00)
H $a1e2`f : ora  $35 [$0035`m]       80 00 04 eb NVdizc (00)
H $a1e4`f : beq  $a1ed               80 00 04 eb NVdizc (00)
H $a1e6`f : lda  $2e [$002e`m]       00 00 04 eb nVdiZc (00)
H $a1e8`f : bne  $a1f3               00 00 04 eb nVdiZc (00)
H $a1ea`f : lda  #$01                01 00 04 eb nVdizc (01)
H $a1ec`f : rts                      01 00 04 ed nVdizc (a1)
H $a6b0`f : beq  $a6bb               01 00 04 ed nVdizc (00)
H $a6b2`f : jsr  $a21e               01 00 04 eb nVdizc (a6)
H $a21e`f : lda  $2e [$002e`m]       00 00 04 eb nVdiZc (00)
H $a220`f : sta  $3b [$003b`m]       00 00 04 eb nVdiZc (00)
H $a222`f : lda  $2f [$002f`m]       00 00 04 eb nVdiZc (00)
H $a224`f : sta  $3c [$003c`m]       00 00 04 eb nVdiZc (00)
H $a226`f : lda  $30 [$0030`m]       81 00 04 eb NVdizc (81)
H $a228`f : sta  $3d [$003d`m]       81 00 04 eb NVdizc (81)
H $a22a`f : lda  $31 [$0031`m]       80 00 04 eb NVdizc (80)
H $a22c`f : sta  $3e [$003e`m]       80 00 04 eb NVdizc (80)
H $a22e`f : lda  $32 [$0032`m]       00 00 04 eb nVdiZc (00)
H $a230`f : sta  $3f [$003f`m]       00 00 04 eb nVdiZc (00)
H $a232`f : lda  $33 [$0033`m]       00 00 04 eb nVdiZc (00)
H $a234`f : sta  $40 [$0040`m]       00 00 04 eb nVdiZc (00)
H $a236`f : lda  $34 [$0034`m]       00 00 04 eb nVdiZc (00)
H $a238`f : sta  $41 [$0041`m]       00 00 04 eb nVdiZc (00)
H $a23a`f : lda  $35 [$0035`m]       00 00 04 eb nVdiZc (00)
H $a23c`f : sta  $42 [$0042`m]       00 00 04 eb nVdiZc (00)
H $a23e`f : rts                      00 00 04 ed nVdiZc (a2)
H $a6b5`f : jsr  $a3b5               00 00 04 eb nVdiZc (a6)
H $a3b5`f : ldy  #$04                00 00 04 eb nVdizc (04)
H $a3b7`f : lda  ($4b),Y [$0470`m]   00 00 04 eb nVdiZc (00)
H $a3b9`f : sta  $34 [$0034`m]       00 00 04 eb nVdiZc (00)
H $a3bb`f : dey                      00 00 03 eb nVdizc (b1)
H $a3bc`f : lda  ($4b),Y [$046f`m]   00 00 03 eb nVdiZc (00)
H $a3be`f : sta  $33 [$0033`m]       00 00 03 eb nVdiZc (00)
H $a3c0`f : dey                      00 00 02 eb nVdizc (b1)
H $a3c1`f : lda  ($4b),Y [$046e`m]   00 00 02 eb nVdiZc (00)
H $a3c3`f : sta  $32 [$0032`m]       00 00 02 eb nVdiZc (00)
H $a3c5`f : dey                      00 00 01 eb nVdizc (b1)
H $a3c6`f : lda  ($4b),Y [$046d`m]   00 00 01 eb nVdiZc (00)
H $a3c8`f : sta  $2e [$002e`m]       00 00 01 eb nVdiZc (00)
H $a3ca`f : dey                      00 00 00 eb nVdiZc (b1)
H $a3cb`f : lda  ($4b),Y [$046c`m]   82 00 00 eb NVdizc (82)
H $a3cd`f : sta  $30 [$0030`m]       82 00 00 eb NVdizc (82)
H $a3cf`f : sty  $35 [$0035`m]       82 00 00 eb NVdizc (00)
H $a3d1`f : sty  $2f [$002f`m]       82 00 00 eb NVdizc (00)
H $a3d3`f : ora  $2e [$002e`m]       82 00 00 eb NVdizc (00)
H $a3d5`f : ora  $32 [$0032`m]       82 00 00 eb NVdizc (00)
H $a3d7`f : ora  $33 [$0033`m]       82 00 00 eb NVdizc (00)
H $a3d9`f : ora  $34 [$0034`m]       82 00 00 eb NVdizc (00)
H $a3db`f : beq  $a3e1               82 00 00 eb NVdizc (00)
H $a3dd`f : lda  $2e [$002e`m]       00 00 00 eb nVdiZc (00)
H $a3df`f : ora  #$80                80 00 00 eb NVdizc (80)
H $a3e1`f : sta  $31 [$0031`m]       80 00 00 eb NVdizc (80)
H $a3e3`f : rts                      80 00 00 ed NVdizc (a3)
H $a6b8`f : bne  $a6f1               80 00 00 ed NVdizc (01)
H $a6f1`f : lda  $2e [$002e`m]       00 00 00 ed nVdiZc (00)
H $a6f3`f : eor  $3b [$003b`m]       00 00 00 ed nVdiZc (00)
H $a6f5`f : sta  $2e [$002e`m]       00 00 00 ed nVdiZc (00)
H $a6f7`f : sec                      00 00 00 ed nVdiZC (a5)
H $a6f8`f : lda  $30 [$0030`m]       82 00 00 ed NVdizC (82)
H $a6fa`f : sbc  $3d [$003d`m]       01 00 00 ed nvdizC (81)
H $a6fc`f : bcs  $a701               01 00 00 ed nvdizC (01)
H $a701`f : adc  #$80                82 00 00 ed Nvdizc (80)
H $a703`f : sta  $30 [$0030`m]       82 00 00 ed Nvdizc (82)
H $a705`f : bcc  $a70a               82 00 00 ed Nvdizc (01)
H $a70a`f : ldx  #$20                82 20 00 ed nvdizc (20)
H $a70c`f : bcs  $a726               82 20 00 ed nvdizc (00)
H $a70e`f : lda  $31 [$0031`m]       80 20 00 ed Nvdizc (80)
H $a710`f : cmp  $3e [$003e`m]       80 20 00 ed nvdiZC (80)
H $a712`f : bne  $a724               80 20 00 ed nvdiZC (00)
H $a714`f : lda  $32 [$0032`m]       00 20 00 ed nvdiZC (00)
H $a716`f : cmp  $3f [$003f`m]       00 20 00 ed nvdiZC (00)
H $a718`f : bne  $a724               00 20 00 ed nvdiZC (00)
H $a71a`f : lda  $33 [$0033`m]       00 20 00 ed nvdiZC (00)
H $a71c`f : cmp  $40 [$0040`m]       00 20 00 ed nvdiZC (00)
H $a71e`f : bne  $a724               00 20 00 ed nvdiZC (00)
H $a720`f : lda  $34 [$0034`m]       00 20 00 ed nvdiZC (00)
H $a722`f : cmp  $41 [$0041`m]       00 20 00 ed nvdiZC (00)
H $a724`f : bcc  $a73f               00 20 00 ed nvdiZC (00)
H $a726`f : lda  $34 [$0034`m]       00 20 00 ed nvdiZC (00)
H $a728`f : sbc  $41 [$0041`m]       00 20 00 ed nvdiZC (00)
H $a72a`f : sta  $34 [$0034`m]       00 20 00 ed nvdiZC (00)
