A7B4 : 20 FA 92 : JSR 92FA       : 6 : A=A7 X=B6 Y=04 SP=ED N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000902:00:00 = +2.30600000E+03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
92FA : 20 EC AD : JSR ADEC       : 6 : A=A7 X=B6 Y=04 SP=EB N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000902:00:00 = +2.30600000E+03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
92FF : 30 E9    : BMI 92EA       : 2 : A=40 X=00 Y=06 SP=ED N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
9301 : 4C BE A2 : JMP A2BE       : 3 : A=40 X=00 Y=06 SP=ED N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A2BE : A2 00    : LDX #00        : 2 : A=40 X=00 Y=06 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A2C0 : 86 35    : STX 35         : 3 : A=40 X=00 Y=06 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 10-A0:00000000:00:00 = +0.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A2C2 : 86 2F    : STX 2F         : 3 : A=40 X=00 Y=06 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 10-A0:00000000:00:00 = +0.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A2C4 : A5 2D    : LDA 2D         : 3 : A=00 X=00 Y=06 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 10-A0:00000000:00:00 = +0.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A2C6 : 10 05    : BPL A2CD       : 3 : A=00 X=00 Y=06 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 10-A0:00000000:00:00 = +0.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A2CD : 86 2E    : STX 2E         : 3 : A=00 X=00 Y=06 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-A0:00000000:00:00 = +0.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A2CF : A5 2A    : LDA 2A         : 3 : A=02 X=00 Y=06 SP=ED N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 00-A0:00000000:00:00 = +0.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A2D1 : 85 34    : STA 34         : 3 : A=02 X=00 Y=06 SP=ED N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 00-A0:00000002:00:00 = +2.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A2D3 : A5 2B    : LDA 2B         : 3 : A=00 X=00 Y=06 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-A0:00000002:00:00 = +2.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A2D5 : 85 33    : STA 33         : 3 : A=00 X=00 Y=06 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-A0:00000002:00:00 = +2.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A2D7 : A5 2C    : LDA 2C         : 3 : A=00 X=00 Y=06 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-A0:00000002:00:00 = +2.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A2D9 : 85 32    : STA 32         : 3 : A=00 X=00 Y=06 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-A0:00000002:00:00 = +2.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A2DB : A5 2D    : LDA 2D         : 3 : A=00 X=00 Y=06 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-A0:00000002:00:00 = +2.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
